loss,reg_head_loss,cls_head_loss,cls_head_accuracy,val_loss,val_reg_head_loss,val_cls_head_loss,val_cls_head_accuracy,lr
0.23053035140037537,0.16009247303009033,0.6946685910224915,0.513503909111023,0.19811756908893585,0.12762188911437988,0.6952389478683472,0.49438202381134033,0.00043291744
0.20369002223014832,0.13316954672336578,0.6954832673072815,0.49928927421569824,0.19682268798351288,0.12638472020626068,0.6946699023246765,0.5,0.00043291744
0.20240427553653717,0.13191527128219604,0.6951727867126465,0.49697938561439514,0.19567303359508514,0.12529423832893372,0.6940860748291016,0.5112359523773193,0.00043291744
0.19957971572875977,0.12907125055789948,0.6953651905059814,0.502842903137207,0.19674673676490784,0.12642976641654968,0.6934765577316284,0.5028089880943298,0.00043291744
0.197699636220932,0.12730839848518372,0.6942094564437866,0.5076403617858887,0.1967283934354782,0.12643243372440338,0.6932690739631653,0.48876404762268066,0.00043291744
0.19807671010494232,0.12778596580028534,0.6932175755500793,0.5095948576927185,0.19649983942508698,0.12628546357154846,0.6924644112586975,0.5308988690376282,0.00043291744
0.19680185616016388,0.1264452338218689,0.6938676238059998,0.5087064504623413,0.1965768188238144,0.12638430297374725,0.692249059677124,0.533707857131958,0.00043291744
0.19666631519794464,0.12649700045585632,0.6920205950737,0.5195451378822327,0.19745269417762756,0.1272549331188202,0.6923007369041443,0.5224719047546387,0.00043291744
0.19592571258544922,0.12580938637256622,0.6914973258972168,0.5222103595733643,0.19632191956043243,0.1262241154909134,0.6913149356842041,0.533707857131958,0.00043291744
0.19445215165615082,0.12425155937671661,0.6923286318778992,0.5204335451126099,0.19967608153820038,0.12955550849437714,0.6915398240089417,0.5224719047546387,0.00043291744
0.1935250461101532,0.12353136390447617,0.6902886033058167,0.5298507213592529,0.20073406398296356,0.13051004707813263,0.6925598382949829,0.5084269642829895,0.00043291744
0.19286546111106873,0.12301916629076004,0.6888343095779419,0.5390902757644653,0.20139341056346893,0.13130147755146027,0.6912569999694824,0.5365168452262878,0.00043291744
0.19257445633411407,0.12278468906879425,0.6882773637771606,0.5465529561042786,0.2028622180223465,0.1326754242181778,0.6921926736831665,0.516853928565979,0.00043291744
0.19122165441513062,0.12180915474891663,0.6845560669898987,0.5568585395812988,0.2018304467201233,0.13171762228012085,0.6914633512496948,0.533707857131958,0.00043291744
0.18951630592346191,0.12031996250152588,0.6824240684509277,0.5632551312446594,0.20669510960578918,0.13607969880104065,0.6964195966720581,0.5056179761886597,0.00043291744
